"http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/creator","http://purl.org/dc/elements/1.1/date","http://purl.org/dc/elements/1.1/type","http://purl.org/dc/elements/1.1/source","https://tropy.org/v1/tropy#collection","https://tropy.org/v1/tropy#box","https://tropy.org/v1/tropy#folder","http://purl.org/dc/elements/1.1/identifier","http://purl.org/dc/elements/1.1/rights","https://tropy.org/v1/tropy#tag","https://tropy.org/v1/tropy#path","http://purl.org/dc/elements/1.1/title","http://purl.org/dc/elements/1.1/date","https://tropy.org/v1/tropy#note"
"PH30-1-5219","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\Exported Items\files\3345\PH30-1-5219.jpg","PH30-1-5219","2022-05-30T03:03:28.542Z","Black and white photo of a timber cottage with shingle roof. A family standing outside, noted as the Barnes family. appears to be a family photo, taken with the family standing apart from each other on the front verandah/porch. According to the Library website it was taken in 1900. The image is clearly staged from the way the people are standing. A timber cottage with a shingle roof, a brick chimney positioned to the left of the house, verandah roof is corrugated iron. A wooden barrel is next to the chimney. A front door in the centre of the building and a window to the right. Four adults dressed in dark clothing, four small children dressed in light coloured clothing. Two girls are sitting, appear to be holding objects (toys or pets?) A woman and a man are each holding a small child. Three men all with hats, the two on the right appear to be quite relaxed, although facian expressions are hard to judge. Trees in the background do not appear to have foliage. A fence can be seen running behind the house. The eye is drawn to the roof, then the people. The focal point is the house. Shows the clothing people wore in the era, and the construction of this type of building.No garden evident."
"PH30-1-9154","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\Exported Items\files\3359\PH30-1-9154.jpg","PH30-1-9154","2022-05-30T03:03:28.573Z","Black and white photo, quite faded around the top. Sibley’s store. Two open top vehicles out the front with people sitting in them, others standing on the footpath. A large group of people gathered outside Sibley’s Drapery and Grocery Store. The store was owned by Sibleys between 1921 and 1928, so must have been taken in that period. Staged There are two open topped vehicles parked facing each other on the road at the front of the building. The roof is not very clear due to deterioration of the photo.The Sibley sign is very prominent. Both vehicles have a number of passengers, and there is a group of people standing next to the verandah posts. Facial expressions hard to judge. Background is blurred from photo deterioration The eye is drawn to the woman in the long, light coloured dress as everyone else has quite dark clothing. The arrangement of the vehicles seems to have been deliberate to frame the edge of the photo. Types of vehicles and clothing from the period."
"nla.obj-136478027-1","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\nla.obj-136478027-1.jpg","nla.obj-136478027-1","2022-05-29T04:34:06.119Z","Artist L. Lebreton; lithograph by P. Blanchard. dated 1841? rural scene, buildings of Green Ponds. Horse drawn coach with passengers, accompanied by a rider and a dog. A rural scene, showing an action shot of coach drawn by two horses as it approaches Green Ponds. Drawn in 1841. Spontaneous – even though it is a drawing, it is a quick sketch of something passing by. The main object is the coach party, however they are quite small. A two storey building can be seen in the distance. Passengers in the coach, a rider accompanying the coach on horseback, and the driver. No facial expressions. The hills and surrounding countryside of Green Ponds. Fields are cleared and fenced, other areas of native vegetation. The eye is drawn to the tall tree and the hills, although the import part of the drawing is the coaching party. Shows how small the village of Green Ponds was in 1841, a good representation of coaches and travelling by coach."
"Beatties-studio-main-street","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\Beatties-studio-main-street.png","Beatties-studio-main-street","2022-05-30T03:03:56.564Z","Black and white photo of a large group of people outside the Exchange hotel on show day 1904. Main Street, Kempton on Show Day 1904 Spontaneous Shows a group of people outside the Exchange Hotel. Building to the left can also be seen. At least 50 people, most wearing hats and coats. Appear to be standing in groups talking. The Exchange Hotel sign is very clear. Some writing above the door hard to discern. Eye is drawn to all the people. Large area of the street in the foreground. Shows the style of clothing and hats worn in the period, the architecture is very clear, the road appears to be gravel/dirt."
"McKay's Bakery","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\McKay's Bakery.webp","McKay's Bakery","2022-05-30T03:47:15.380Z",""
"NS3195-2-2474","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\NS3195-2-2474.jpg","NS3195-2-2474","null","Black and white photo of a man with a beard, wearing an apron, and holding a loaf of bread. Building appears to be a weatherboard cottage. A man (presumably Mr McKay from the title of the photo) standing in a doorway holding a loaf of bread. Taken in 1974. Staged Not much of the building can be seen. Building is weatherboard. Mr McKay has a serious expression, he looks weary. His style of beard makes the photo look a lot older. glimpses of the interior behind Mr McKay. Eye is drawn to Mr McKay’s face and long beard. He is the focal point. MrMcKay appears to be q hard worker, and quite old fashioned from his appearance. "
"PH30-1-7742","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\PH30-1-7742.jpg","PH30-1-7742","2022-05-29T05:12:48.278Z","Photograph - Ellis General Store, Main Street, Kempton c. 1900 wide angle shot of Ellis’ General Store. Taken c. 1900. Spontaneous Contains Ellis’ store, with people standing, as well as stationary horse drawn carts on the road. 10-20 people standing, or sitting on the horse/cart. No facial expressions can be discerned. The building to the left of the Ellis store can be seen. Wide shot of the road. Eye is drawn to the windows, and the right side of the Ellis building. The appearance of the Ellis store in this period. Methods of transport. Details of clothing hard to discern."
"PH30-1-9149","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\Exported Items\files\3343\PH30-1-9149.jpg","PH30-1-9149","2022-05-30T03:03:28.526Z","Black and white photo of Green Ponds store. Four men standing outside. H.W.Ellis. Established 1833. Exterior of H.W. Ellis’s General Store, Taken c. 1880. Staged Four men standing on the kerb outside the building. Woodens boxes stacked in a pile, and a hand-trolley outside the door. Cans can be seen stacked in the window, plus other displays of goods. Four men standing quite stiffle, hands by their sides, or in their pockets. Looking at the camera. Large tree can be seen behind the building. Road appears to be dirt. Lettering along the building above the windows, just under the roof it quite clear until the last window, when it is too faded to be clear. Eye is drawn to the windows, and the lettering just under the roof. Shows clothing and style of stores in the period."
"PH30-1-301","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\Exported Items\files\3341\PH30-1-301.jpg","PH30-1-301","2022-05-30T03:03:28.542Z","Black and white photo. Building has very distinctive windows. Noted as Ellis’ Commercial Store on the Library website. Showing the old Ellis General Store in a more modern period. Taken c 1960. N/A The Ellis store in run-down condition. Power lines very evident. Metre box on left of building.  no Large tree appears to be dead. Large shrub to the right of the building.Paved footpath and road. Eye is drawn to the windows distinctive style Shows how the building has changed since it was a thriving store."
"DSC02114","","","","","","","","","","","C:\Users\sandy\OneDrive - University of New England\HINQ302\Assignment-2\Portfolio-task-2\downloaded images\DSC02114.JPG","DSC02114","2022-05-30T07:55:54.356Z","Colour photo. Building has very distinctive windows. Noted as Ellis’ Commercial Store Showing the old Ellis General Store in a more modern period. Taken c 1960. N/A The Ellis store in run-down condition. Some of the earlier building no longer existing. no Shows some of the sourrounding countryside in the background. Some lettering has been restored, and the tin roof looks new. Eye is drawn to the windows distinctive style Shows how the building has changed since it was a thriving store."
