id,document,tag,content
61,Heritage_Documents_SMHHS_19_23_FINAL.pdf,Kempton,Kempton
62,Heritage_Documents_SMHHS_19_23_FINAL.pdf,Kempton,Kempton
76,Heritage_Documents_SMHHS_19_23_FINAL.pdf,Kempton,"Archaeological The model of each season is to train 12-15 volunteer students, Management Plan utilising council heritage staff and 2-3 volunteer professional 2003. archaeologists and undertake excavations on at least three •  Archaeological sites  and  survey  on  several  sites  during  the  three-week research designs for: program.    Permits  are  gained,  and  research  design  and Oatlands Gaol, planning  are  undertaken  ahead  of  each  program  and Cal ington Mil , Green students  gain  experience  in  planning,  excavation,  survey, Ponds Watch House,"
76,Heritage_Documents_SMHHS_19_23_FINAL.pdf,volunteers,"Archaeological The model of each season is to train 12-15 volunteer students, Management Plan utilising council heritage staff and 2-3 volunteer professional 2003. archaeologists and undertake excavations on at least three •  Archaeological sites  and  survey  on  several  sites  during  the  three-week research designs for: program.    Permits  are  gained,  and  research  design  and Oatlands Gaol, planning  are  undertaken  ahead  of  each  program  and Cal ington Mil , Green students  gain  experience  in  planning,  excavation,  survey, Ponds Watch House,"
63,Heritage_Documents_SMHHS_19_23_FINAL.pdf,Kempton,Green Ponds Watch House
67,Heritage_Documents_SMHHS_19_23_FINAL.pdf,horse drawn carriage,"Horse-Drawn Heritage The public transport of yesteryear Council  is  the  custodian  of  a  collection  of  horse  drawn  carriages  and  associated  equipment, some of which is owned by council and some is on long-term loan from the family of a benefactor who vested a collection into council’s care.  A purpose-built faculty has been constructed on the property adjoining the Kempton Recreation ground and a part of the collection is stored and displayed in that building."
68,Heritage_Documents_SMHHS_19_23_FINAL.pdf,horse drawn carriage,The horse drawn heritage initiative is being progressed by a sub-committee of the Green Ponds Progress  Association.    A  memorandum  of  understanding  has  been  entered  into  with  that organisation which identifies a future development plan for the property within which the facility is  constructed.    The equipment  is  used  occasional y  for  special  events  and  there  are  plans  to eventually open the facility for public visitation.
82,Heritage_Documents_SMHHS14_18V4.pdf,precinct,Cal ington Mil  Precinct
83,Heritage_Documents_SMHHS14_18V4.pdf,precinct,Oatlands Military Precinct
52,Heritage_Documents_SMHHS14_18V4.pdf,Historic Precinct Special Areas,Historic  Precinct  Special  Areas
53,Heritage_Documents_SMHHS14_18V4.pdf,Kempton,Design  Guidelines  for  Georgian  Buildings  in  the  Main  Street of Kempton & Oatlands
54,Heritage_Documents_SMHHS14_18V4.pdf,Kempton,"Reducing the heritage precinct at Kempton, slightly"
75,Heritage_Documents_SMHHS14_18V4.pdf,volunteers,"The  model  of  each  season  is  to  train  12-15  volunteer Oatlands Gaol, students,  utilising  council  heritage  staff  and  2-3  volunteer Cal ington Mil , Green professional  archaeologists  and  undertake  excavations  on Ponds Watch House,"
55,Heritage_Documents_SMHHS14_18V4.pdf,Kempton,"Green Ponds Watch House 1847 A Modern adaptation of a significant ruin The Green Ponds Watch House was constructed in 1847 to a Previously endorsed design by Colonial Architect Wil iam Porden Kay, adjacent to documents and the  Green  Ponds  Police  Office  (now  SMC  Kempton  Council Offices).  In  the  1860s,  the  Kempton  Council  Chambers  were policy built between the two buildings.  The watch house was largely demolished  in  the  late  1930s  with  only  the  former  men’s   Green Ponds Watch House Conservation Brief 2008. lockup retained and used for the next 80 years as a storage shed.    In  2010,  council  undertook  a  refurbishment  of  the"
